"priority","source_type","key","screen","source_hr","target","match_policy","status","notes"
"P0","android_resource","login_settings_text","login_settings","Lozinka i prijava otiskom prsta","密码和指纹登录","resource_name","draft","设备可能显示不同生物识别能力"
"P0","android_resource","login_using_biometrics","biometric_login","Prijavi se putem biometrije","使用生物识别登录","resource_name","draft","生物识别按钮"
"P0","android_resource","login_with_biometrics","biometric_setup","Omogući prijavu pomoću biometrije","启用生物识别登录","resource_name","draft","生物识别开关"
"P0","android_resource","login_with_face","biometric_setup","Omogućiti prijavu skeniranjem lica","启用人脸识别登录","resource_name","draft","生物识别开关"
"P0","android_resource","login_with_fingerprint","biometric_setup","Omogući prijavu otiskom prsta","启用指纹登录","resource_name","draft","生物识别开关"
"P0","android_resource","login_welcome","login","Bok!","你好！","resource_name","draft","问候语"
"P0","android_resource","error_a11y_label","common_error","Error: invalid","错误：输入无效","resource_name","draft","源文为英语；TalkBack 标签"
"P0","android_resource","error_icon_content_description","common_error","Error","错误","resource_name","draft","源文为英语；错误图标标签"
"P0","server_exact","server.non_a1.page_title","non_a1","Postani A1 korisnik u par koraka","几步即可成为 A1 用户","exact+screen+view_id","draft","view-id titleLabel；服务端文本"
"P0","server_exact","server.non_a1.install_title","non_a1","Instalacija i aktivacija usluge","服务安装与开通","exact+screen+view_id","draft","view-id h3Label；服务端文本"
"P0","server_exact","server.non_a1.install_body","non_a1","Dogovori, pregledaj ili promijeni termin dolaska tehničara","预约、查看或更改技术人员上门时间","exact+screen+view_id","draft","view-id bodyLabel；服务端文本"
"P0","server_exact","server.non_a1.appointments","non_a1","Pregledaj termine","查看可预约时间","exact+screen+view_id","draft","view-id label；termin 按上门预约上下文翻译"
"P0","server_exact","server.non_a1.mobile_title","non_a1","Prenesi mobilnu liniju","将手机号转入 A1","exact+screen+view_id","draft","view-id titleLabel；号码携转上下文"
"P0","server_exact","server.non_a1.mobile_subtitle","non_a1","Prijeđi s mobilnom linijom u A1 mrežu","将手机号转入 A1 网络","exact+screen+view_id","draft","view-id subtitleLabel"
"P0","server_exact","server.non_a1.fixed_title","non_a1","Prenesi fiksnu liniju","将固定线路转入 A1","exact+screen+view_id","draft","view-id titleLabel"
"P0","server_exact","server.non_a1.fixed_subtitle","non_a1","Prijeđi s fiksnom linijom u A1 mrežu","将固定线路转入 A1 网络","exact+screen+view_id","draft","view-id subtitleLabel"
"P0","server_exact","server.non_a1.new_line_title","non_a1","Dodaj novu liniju","添加新线路","exact+screen+view_id","draft","view-id titleLabel"
"P0","server_exact","server.non_a1.new_line_subtitle","non_a1","Ugovori uslugu u A1 mreži","办理 A1 服务","exact+screen+view_id","draft","view-id subtitleLabel；不修改卡片动作 ID"
